date,compileTime,assembleTime,mean,stdev,median
10/11/17,261.514,0.046826,4.67912,0.0236743,4.66415
10/12/17,195.84,0.029567,4.68323,0.0254338,4.66792
10/13/17,200.461,0.059677,4.65502,0.0152466,4.64625
10/14/17,194.071,0.043176,4.68966,0.0254224,4.67627
10/19/17,215.693,0.058892,4.66145,0.0230675,4.64912
10/28/17,182.802,0.027677,4.67969,0.0197194,4.66959
10/31/17,113.91,0.029704,4.68066,0.022009,4.66799
11/03/17,229.502,0.026477,4.67628,0.0189214,4.66712
11/03/17,205.106,0.027582,4.63072,0.0110258,4.62497
