date,compileTime,assembleTime,mean,stdev,median
10/11/17,269.352,0.039988,1.84111,0.0144285,1.83564
10/12/17,198.308,0.026739,1.83962,0.00832886,1.83675
10/13/17,200.305,0.025031,1.8394,0.00503673,1.83698
10/14/17,207.014,0.057246,1.83833,0.00801234,1.83486
10/19/17,197.874,0.027185,1.90036,0.0121812,1.89566
10/28/17,222.106,0.071782,1.88494,0.0244178,1.89368
10/31/17,195.412,0.024992,1.84005,0.00987118,1.83662
11/03/17,202.739,0.025624,1.83818,0.00503634,1.83561
11/03/17,196.048,0.026172,1.88844,0.0372887,1.87747
