date,compileTime,assembleTime,mean,stdev,median
09/25/17,522.102,0.051786,2883.62,20.2218,2876.62
09/25/17,258.961,0.076718,2915.1,34.1285,2927.46
09/26/17,287.092,0.128484,2875.63,0.712609,2875.37
